	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
Output_1_12	2005010 7_01 WC - 4.d	10/11/2020 (3) 11:42:13.00	10/11/2020 (3)	11:42:13.00	35.036	2005010 7_01 WC - 4.d	8.20E+06	0.40E+06	4.752	0.094	26350	110	2220	11	65.18	0.65	67030	290	66980	330	539.0	3.2	18.53	0.19	557.6	5.1	0.159	0.023	28.50	0.18	188.42	0.79	8.66	0.15	15.33	0.30	2.931	0.044	4.948	0.056	2.349	0.084	4.657	0.089	2.084	0.042	FILENAME: 2005010 7_01 WC - 4.csv	0	0.040273	0.10734	0.17681	0.43947	21.147	12.796	0.093861	0.082438	1.7265	0.042073	0.0032776	0.0044576	0.028162	0.0074159	0.0016615	0.00087307	0.010028	0.0054883	0.0071191
Output_1_13	2005010 7_01 WC - 5.d	10/11/2020 (3) 11:43:46.00	10/11/2020 (3)	11:43:46.00	35.036	2005010 7_01 WC - 5.d	8.38E+06	0.38E+06	4.783	0.097	26270	130	2246.6	9.6	64.22	0.80	67050	270	67270	310	546.6	3.6	18.45	0.20	565.2	5.5	0.192	0.024	28.86	0.17	191.56	0.82	8.72	0.12	15.38	0.24	3.015	0.046	5.014	0.062	2.37	0.10	4.663	0.090	2.087	0.048	FILENAME: 2005010 7_01 WC - 5.csv	0	0.052915	0.10818	0.20359	0.44616	17.089	12.134	0.070641	0.11277	1.4768	0.035371	0.0028654	0.0037367	0.032529	0.018368	0.0018053	0.0016729	0.0098194	0.0049437	0.0067299
Output_1_14	2005010 2_03 2 - 1.d	10/11/2020 (3) 11:50:08.09	10/11/2020 (3)	11:50:08.09	23.52	2005010 2_03 2 - 1.d	9.86E+06	0.37E+06	4.378	0.099	21531	97	2186.6	8.8	175.1	1.1	69530	370	69290	350	448.5	3.5	38.89	0.42	591.5	6.8	0.673	0.036	38.90	0.28	156.59	0.88	190	120	23.5	2.0	2.673	0.054	5.594	0.074	1.998	0.081	3.827	0.087	1.319	0.067	FILENAME: 2005010 2_03 2 - 1.csv	0	0.040044	0.095741	0.1866	0.38485	20.68	12.514	0.079305	0.087955	1.4004	0.035179	0.003494	0.0015751	0.027478	0.036639	0.0031973	0.0017409	0.0066578	0.0050399	0.0069778
Output_1_15	2005010 2_03 2 - 2.d	10/11/2020 (3) 11:51:43.94	10/11/2020 (3)	11:51:43.94	10.976	2005010 2_03 2 - 2.d	1.107E+07	3.6E+05	4.45	0.12	21740	120	2225	15	174.1	2.6	70020	650	70090	670	449.5	6.4	38.57	0.54	649	26	0.672	0.039	39.00	0.31	157.6	1.6	3.8E+03	1.1E+03	27.5	7.1	2.748	0.081	5.606	0.098	2.023	0.090	3.76	0.14	0.86	0.10	FILENAME: 2005010 2_03 2 - 2.csv	0	0.044424	0.092819	0.2447	0.46433	22.749	13.549	0.091319	0.11341	1.65	0.041481	0.0035919	0.0062914	0.05805	0.018495	0.0019491	0.0018072	0.011664	0.0058054	0.0079853
Output_1_16	2005010 4_03 1 - 1.d	10/11/2020 (3) 11:53:24.00	10/11/2020 (3)	11:53:24.00	35.036	2005010 4_03 1 - 1.d	9.08E+06	0.38E+06	4.745	0.089	26755	99	2295.2	8.2	67.21	0.92	68350	240	68460	280	560.3	3.4	18.71	0.20	577.3	5.6	0.195	0.020	29.29	0.17	196.02	0.68	8.69	0.16	15.88	0.26	3.014	0.046	5.131	0.055	2.440	0.076	4.764	0.096	2.113	0.039	FILENAME: 2005010 4_03 1 - 1.csv	0	0.039996	0.10674	0.21666	0.34253	20.151	9.7536	0.10278	0.084382	1.5236	0.032875	0.0022763	0.0021858	0.053107	0.0067243	0.0016728	0.0017214	0.010011	0.0064826	0.0066941
Output_1_17	2005010 4_03 1 - 2.d	10/11/2020 (3) 11:54:53.00	10/11/2020 (3)	11:54:53.00	35.036	2005010 4_03 1 - 2.d	7.49E+06	0.43E+06	4.94	0.11	26800	130	2224	14	70.5	2.1	66760	540	66950	550	537.0	4.9	18.86	0.24	586.4	7.5	0.161	0.021	28.61	0.25	187.0	1.6	8.78	0.19	15.41	0.31	2.886	0.044	4.984	0.073	2.274	0.089	4.425	0.094	2.032	0.051	FILENAME: 2005010 4_03 1 - 2.csv	0	0.042941	0.13041	0.24196	0.53809	24.893	15.787	0.13204	0.097603	1.9011	0.04859	0.0024715	0.0032159	0.055102	0.013891	0.003056	0.0020833	0.0065511	0.0055477	0.0074276
Output_1_18	2005010 4_03 1 - 3.d	10/11/2020 (3) 11:56:26.01	10/11/2020 (3)	11:56:26.01	0.98001	2005010 4_03 1 - 3.d	3.84E+06	0.17E+06	4.61	0.56	28610	560	2391	95	222	18	74100	770	7.42E+04	0.42E+04	603	33	22.5	1.4	655.6	5.9	0.26	0.20	33.43	0.28	215	13	8.6	1.6	17.6	1.6	3.12	0.68	5.98	0.19	2.4	1.5	5.21	0.50	2.26	0.23	FILENAME: 2005010 4_03 1 - 3.csv	0	0.46486	1.2659	2.0526	4.5032	221.63	125.54	0.9119	0.94553	15.512	0.35911	0.036193	0.032757	0.43518	0.12344	0.0082862	0.014559	0.07079	0.044435	0.07374
Output_1_19	2005010 7_01 WC - 6.d	10/11/2020 (3) 11:58:00.00	10/11/2020 (3)	11:58:00.00	35.036	2005010 7_01 WC - 6.d	8.42E+06	0.38E+06	4.607	0.087	26170	120	2232	11	64.93	0.71	67150	310	67240	330	551.7	3.9	18.50	0.20	574.3	5.7	0.186	0.017	28.81	0.19	192.46	0.86	8.84	0.13	15.45	0.30	2.968	0.042	5.025	0.060	2.256	0.078	4.619	0.089	2.073	0.051	FILENAME: 2005010 7_01 WC - 6.csv	0	0.045098	0.10054	0.19452	0.43344	21.216	13.013	0.098642	0.117	1.6381	0.037157	0.0019837	0.0046245	0.035751	0.010173	0.00083037	0.0016725	0.009239	0.0031958	0.0064043
Output_1_20	2005010 7_01 WC - 7.d	10/11/2020 (3) 11:59:41.00	10/11/2020 (3)	11:59:41.00	35.036	2005010 7_01 WC - 7.d	8.03E+06	0.40E+06	4.78	0.11	26230	140	2204.6	9.4	65.26	0.65	67140	330	67160	330	541.1	3.7	18.49	0.21	568.5	6.1	0.175	0.020	28.73	0.19	189.6	1.1	8.74	0.17	15.31	0.29	2.916	0.040	4.998	0.050	2.197	0.086	4.600	0.095	2.146	0.053	FILENAME: 2005010 7_01 WC - 7.csv	0	0.047488	0.096222	0.21918	0.43366	19.971	13.966	0.13399	0.10618	1.9797	0.04723	0.0029309	0.0038191	0.039339	0.020385	0.0020553	0.0019464	0.0061187	0.0051828	0.0081026
Output_1_21	2005010 7_01 WC - 8.d	10/11/2020 (3) 12:01:07.00	10/11/2020 (3)	12:01:07.00	35.036	2005010 7_01 WC - 8.d	8.19E+06	0.38E+06	4.603	0.091	26310	130	2252	11	63.93	0.78	67720	330	67680	320	553.4	4.1	18.51	0.20	571.8	5.2	0.152	0.019	28.83	0.20	192.74	0.93	8.73	0.16	15.15	0.29	2.910	0.046	4.948	0.048	2.374	0.078	4.611	0.090	2.047	0.048	FILENAME: 2005010 7_01 WC - 8.csv	0	0.037631	0.1177	0.19677	0.46854	21.516	13.711	0.1386	0.091471	1.8408	0.034348	0.0026404	0.0047599	0.039058	0.0074571	0.0014593	0.0022265	0.012079	0.0050884	0.0066381
Output_1_22	2005010 7_01 WC - 9.d	10/11/2020 (3) 12:02:40.00	10/11/2020 (3)	12:02:40.00	35.036	2005010 7_01 WC - 9.d	8.44E+06	0.40E+06	4.564	0.094	26110	110	2220.9	9.9	64.81	0.73	67000	250	66690	320	538.5	3.8	18.15	0.21	567.5	5.6	0.169	0.020	28.57	0.18	186.85	0.77	8.70	0.14	15.62	0.24	2.925	0.039	4.992	0.060	2.221	0.082	4.569	0.082	2.150	0.044	FILENAME: 2005010 7_01 WC - 9.csv	0	0.045013	0.10354	0.18768	0.40124	21.067	13.193	0.13072	0.093235	1.6045	0.036757	0.0036934	0.0028614	0.035328	0.014165	0.0023431	0.0011999	0.0098039	0.0038845	0.0063372
Output_1_23	2005010 7_01 WC - 10.d	10/11/2020 (3) 12:04:14.00	10/11/2020 (3)	12:04:14.00	35.036	2005010 7_01 WC - 10.d	8.39E+06	0.39E+06	4.702	0.073	26310	120	2230	10	65.14	0.65	67210	270	67360	320	537.7	3.7	18.57	0.20	571.1	4.8	0.209	0.021	28.74	0.20	187.92	0.81	8.66	0.16	15.54	0.30	2.910	0.043	4.929	0.056	2.280	0.062	4.501	0.076	2.119	0.051	FILENAME: 2005010 7_01 WC - 10.csv	0	0.033148	0.12604	0.19898	0.4164	19.53	13.414	0.089547	0.092823	1.5487	0.040103	0.0038362	0.0028773	0.029017	0.010221	0.0014247	0.0023694	0.0081731	0.0049689	0.0068837
Output_1_24	2003592 7_03 1 - 1.d	10/11/2020 (3) 12:10:36.00	10/11/2020 (3)	12:10:36.00	35.036	2003592 7_03 1 - 1.d	2.61E+05	0.77E+05	7.4	1.1	19570	280	4550	200	2600	68	3.17E+04	0.25E+04	3.27E+04	0.27E+04	1400	170	47.2	2.9	2020	100	5.28	0.93	25.6	2.1	27.8	5.4	20.5	1.4	80.4	6.9	0.62	0.16	1.41	0.26	0.42	0.20	0.92	0.42	65.3	2.3	FILENAME: 2003592 7_03 1 - 1.csv	0	0.7558	1.4197	3.2866	6.0302	319.43	190.63	1.6812	1.5701	22.517	0.6529	0.054675	0.026942	0.51096	0.3122	0.043738	0.039917	0.15766	0.086409	0.093854
Output_1_25	2003592 7_03 1 - 2.d	10/11/2020 (3) 12:12:22.99	10/11/2020 (3)	12:12:22.99	6.0761	2003592 7_03 1 - 2.d	1.119E+07	4.6E+05	7.88	0.35	17500	93	6311	36	1897	16	73020	810	7.25E+04	0.14E+04	277.9	6.9	41.91	0.76	2015	33	4.86	0.11	52.15	0.71	114.9	1.7	19.66	0.53	154.5	4.1	2.088	0.090	3.71	0.19	1.69	0.21	2.75	0.23	71.0	1.3	FILENAME: 2003592 7_03 1 - 2.csv	0	0.054271	0.14071	0.28861	0.60759	32.324	18.236	0.12405	0.11632	2.6059	0.048435	0.0035332	0	0.042584	0.017022	0.0028932	0.0020118	0.017764	0.0091094	0.0095605
Output_1_26	2003592 7_03 2 - 1.d	10/11/2020 (3) 12:13:48.99	10/11/2020 (3)	12:13:48.99	5.6841	2003592 7_03 2 - 1.d	1.097E+07	7.2E+05	7.81	0.28	17530	170	6269	92	1931	32	7.21E+04	0.13E+04	7.17E+04	0.14E+04	278.2	7.4	42.54	0.85	2045	41	4.913	0.081	52.1	1.4	112.4	3.1	20.26	0.38	153.2	4.5	2.128	0.067	3.80	0.16	1.59	0.11	2.43	0.14	71.1	2.8	FILENAME: 2003592 7_03 2 - 1.csv	0	0.055346	0.17244	0.25873	0.5642	30.713	19.773	0.19958	0.14768	1.8737	0.051406	0.0052414	0.003404	0.042619	0.017873	0.0016862	0.0017378	0.013053	0.01001	0.0097471
Output_1_27	2003592 7_03 3 - 1.d	10/11/2020 (3) 12:15:22.07	10/11/2020 (3)	12:15:22.07	11.76	2003592 7_03 3 - 1.d	1.083E+07	3.1E+05	7.39	0.16	17467	80	6224	30	1896.7	8.2	72770	480	72600	530	279.5	4.2	42.28	0.41	2082	18	4.91	0.12	52.15	0.38	113.6	1.0	20.23	0.30	155.8	2.1	2.131	0.054	3.821	0.085	1.684	0.096	2.74	0.10	72.44	0.60	FILENAME: 2003592 7_03 3 - 1.csv	0	0.044699	0.11444	0.22877	0.48474	22.574	14.504	0.11321	0.097187	1.9258	0.040943	0.0029466	0.0047132	0.030011	0.017018	0.0022748	0.0015821	0.0097732	0.0053575	0.0070722
Output_1_28	2003592 7_02 1 - 1.d	10/11/2020 (3) 12:16:56.00	10/11/2020 (3)	12:16:56.00	35.034	2003592 7_02 1 - 1.d	8.23E+06	0.39E+06	7.42	0.12	16951	76	6100	26	1846.4	5.8	70710	290	71020	380	276.4	2.5	41.39	0.31	1991	11	4.853	0.064	51.00	0.28	111.14	0.52	20.75	0.26	153.33	0.91	2.040	0.036	3.778	0.059	1.618	0.063	2.803	0.070	72.05	0.75	FILENAME: 2003592 7_02 1 - 1.csv	0	0.054315	0.10116	0.21504	0.40477	22.416	12.952	0.12658	0.10494	1.7051	0.035155	0.0031673	0.0033716	0.033367	0.016156	0.0033408	0.0019107	0.009279	0.0045843	0.0089821
Output_1_29	2003592 7_02 1 - 2.d	10/11/2020 (3) 12:18:38.00	10/11/2020 (3)	12:18:38.00	35.036	2003592 7_02 1 - 2.d	8.32E+06	0.39E+06	7.45	0.11	16968	82	6112	28	1856.1	6.0	70820	270	70930	380	273.5	3.0	41.31	0.31	2017	13	4.815	0.066	50.72	0.30	111.22	0.51	20.74	0.24	152.7	1.2	2.045	0.037	3.774	0.048	1.659	0.056	2.687	0.065	72.70	0.67	FILENAME: 2003592 7_02 1 - 2.csv	0	0.045366	0.1162	0.2058	0.44734	22.43	11.684	0.085546	0.098897	1.6414	0.0384	0.0036912	0.0037018	0.03819	0.019117	0.0011861	0.001891	0.0059377	0.0080417	0.0098575
Output_1_30	2003592 7_02 1 - 3.d	10/11/2020 (3) 12:20:05.00	10/11/2020 (3)	12:20:05.00	35.036	2003592 7_02 1 - 3.d	8.34E+06	0.39E+06	7.39	0.13	16953	80	6096	24	1868.8	5.4	70560	300	70910	380	275.0	2.6	41.55	0.37	2017	13	4.925	0.076	50.94	0.27	112.02	0.51	20.64	0.26	153.0	1.2	2.096	0.033	3.756	0.055	1.643	0.067	2.697	0.065	72.52	0.71	FILENAME: 2003592 7_02 1 - 3.csv	0	0.043573	0.095532	0.17804	0.34495	19.916	11.554	0.15046	0.087747	1.84	0.039664	0.0029036	0.004011	0.031658	0.02405	0.0024446	0.0014821	0.0071962	0.0039458	0.0060106
Output_1_31	2003592 7_02 2 - 1.d	10/11/2020 (3) 12:21:38.00	10/11/2020 (3)	12:21:38.00	35.036	2003592 7_02 2 - 1.d	8.50E+06	0.40E+06	7.51	0.11	16932	74	6082	24	1861.3	6.0	70450	300	70490	380	273.5	2.4	41.13	0.35	2020	11	4.873	0.070	50.71	0.28	111.86	0.49	20.61	0.22	152.70	0.96	2.048	0.037	3.744	0.055	1.638	0.065	2.754	0.058	72.08	0.63	FILENAME: 2003592 7_02 2 - 1.csv	0	0.040028	0.10082	0.19682	0.3866	20.904	12.722	0.096211	0.0989	1.3037	0.04179	0.0032117	0.0050685	0.032772	0.019331	0.0024004	0.0021569	0.0041393	0.0049284	0.0082103
Output_1_32	2003592 7_02 2 - 2.d	10/11/2020 (3) 12:23:10.00	10/11/2020 (3)	12:23:10.00	35.036	2003592 7_02 2 - 2.d	8.86E+06	0.52E+06	7.49	0.11	17561	58	6203	21	1903.8	6.5	72200	290	72350	360	284.3	2.6	42.52	0.27	2088	15	4.807	0.074	52.12	0.30	112.61	0.65	20.93	0.26	156.54	0.98	2.158	0.035	3.903	0.049	1.729	0.078	2.789	0.063	73.07	0.32	FILENAME: 2003592 7_02 2 - 2.csv	0	0.042772	0.096419	0.18032	0.36815	20.654	11.472	0.095667	0.087308	1.6709	0.033391	0.0026173	0.0027509	0.027169	0.02159	0.00079858	0.0017882	0.018272	0.0030786	0.009504
Output_1_33	2003592 7_02 2 - 3.d	10/11/2020 (3) 12:24:50.00	10/11/2020 (3)	12:24:50.00	35.036	2003592 7_02 2 - 3.d	8.58E+06	0.39E+06	7.30	0.12	16917	82	6110	39	1850.6	6.4	70040	380	70090	370	272.9	2.3	41.47	0.35	1996	14	4.826	0.064	50.47	0.30	114.3	2.1	20.50	0.23	151.14	0.99	2.052	0.037	3.729	0.061	1.601	0.060	2.779	0.085	70.6	1.0	FILENAME: 2003592 7_02 2 - 3.csv	0	0.038878	0.10203	0.20731	0.43925	22.393	11.021	0.075212	0.10461	1.7179	0.039661	0.0025324	0.003903	0.022577	0.021076	0.0016035	0.002454	0.0080283	0.0053117	0.0090882
Output_1_34	2003592 9_01 DC - 1.d	10/11/2020 (3) 12:26:17.00	10/11/2020 (3)	12:26:17.00	35.036	2003592 9_01 DC - 1.d	8.60E+06	0.39E+06	7.078	0.099	17059	75	6104	26	1876.6	6.5	70690	310	70490	350	274.7	2.3	41.37	0.31	2026	12	4.852	0.069	50.90	0.26	112.47	0.56	21.06	0.24	154.2	1.1	2.078	0.039	3.772	0.047	1.687	0.057	2.792	0.066	75.10	0.66	FILENAME: 2003592 9_01 DC - 1.csv	0	0.046497	0.084195	0.17808	0.34351	17.29	11.606	0.080273	0.098756	1.4043	0.036947	0.002823	0.0023188	0.032478	0.013952	0.0023764	0.0025651	0.0040982	0.006526	0.010112
Output_1_35	2003592 9_01 DC - 2.d	10/11/2020 (3) 12:27:54.00	10/11/2020 (3)	12:27:54.00	35.036	2003592 9_01 DC - 2.d	8.44E+06	0.39E+06	7.08	0.12	16967	90	6064	32	1867.6	5.1	70330	370	70250	410	273.1	2.4	41.48	0.35	2020	12	4.779	0.082	50.64	0.29	111.15	0.70	21.10	0.25	152.1	1.1	2.078	0.031	3.745	0.054	1.652	0.072	2.640	0.072	72.72	0.57	FILENAME: 2003592 9_01 DC - 2.csv	0	0.041379	0.098565	0.20157	0.41356	21.622	10.921	0.10761	0.097558	1.7101	0.035936	0.0024046	0.0023623	0.024736	0.014214	0.0019685	0.0022342	0.011511	0.0057945	0.0090474
Output_1_36	2003592 9_01 DC - 3.d	10/11/2020 (3) 12:29:27.00	10/11/2020 (3)	12:29:27.00	35.036	2003592 9_01 DC - 3.d	8.43E+06	0.41E+06	7.10	0.13	16991	88	6058	26	1878.1	5.1	70480	350	70240	380	273.9	2.5	41.43	0.33	2023	11	4.909	0.064	50.93	0.29	110.85	0.55	20.93	0.24	154.0	1.2	2.075	0.040	3.743	0.048	1.732	0.069	2.723	0.072	72.96	0.47	FILENAME: 2003592 9_01 DC - 3.csv	0	0.044387	0.095666	0.2069	0.355	21.8	9.9208	0.10491	0.072612	1.5111	0.038698	0.0025813	0.0016849	0.025821	0.019521	0.0011728	0.0014712	0.0071395	0.0044891	0.0076267
Output_1_37	2003592 7_02 3 - 1.d	10/11/2020 (3) 12:35:49.00	10/11/2020 (3)	12:35:49.00	35.036	2003592 7_02 3 - 1.d	7.59E+06	0.36E+06	7.32	0.12	17121	97	6180	35	1838.2	7.4	71610	390	71910	470	277.4	2.8	41.71	0.28	2031	13	4.762	0.076	51.56	0.33	113.78	0.73	20.66	0.27	155.8	1.2	2.160	0.044	3.885	0.054	1.682	0.077	2.847	0.077	73.50	0.90	FILENAME: 2003592 7_02 3 - 1.csv	0	0.043212	0.096938	0.20656	0.5134	18.589	12.14	0.12698	0.10634	1.7896	0.042218	0.0051505	0.0018693	0.028465	0.015791	0.0015824	0.0016335	0.0079239	0.004984	0.0097662
Output_1_38	2003592 7_02 3 - 2.d	10/11/2020 (3) 12:37:36.91	10/11/2020 (3)	12:37:36.91	20.58	2003592 7_02 3 - 2.d	9.12E+06	0.57E+06	7.44	0.12	17518	94	6262	37	1847	10	72030	360	71920	370	279.3	2.1	42.33	0.30	2042	16	4.740	0.074	51.82	0.37	117.6	3.1	19.94	0.25	155.5	1.4	2.108	0.034	3.820	0.066	1.593	0.086	2.85	0.12	66.5	1.2	FILENAME: 2003592 7_02 3 - 2.csv	0	0.039075	0.12273	0.2169	0.41337	18.19	12.345	0.12059	0.10536	1.7301	0.037471	0.0041425	0.0051548	0.026103	0.018093	0.0015031	0.0024393	0.0086275	0.0047348	0.0084269
Output_1_39	2003592 7_02 3 - 3.d	10/11/2020 (3) 12:39:04.00	10/11/2020 (3)	12:39:04.00	35.036	2003592 7_02 3 - 3.d	8.64E+06	0.37E+06	7.33	0.13	16994	85	6120	44	1850.6	5.6	70210	390	70430	440	273.4	2.6	41.74	0.30	2010	11	4.816	0.060	50.69	0.29	112.6	1.4	20.46	0.25	151.5	1.1	2.097	0.035	3.774	0.046	1.652	0.073	2.819	0.086	69.67	0.65	FILENAME: 2003592 7_02 3 - 3.csv	0	0.038373	0.10187	0.14659	0.43103	19.725	11.83	0.086997	0.099481	1.729	0.034895	0.0042541	0.00427	0.029207	0.017181	0.0013922	0.0014376	0.007991	0.0022415	0.005751
Output_1_40	2003592 7_02 4 - 1.d	10/11/2020 (3) 12:40:37.94	10/11/2020 (3)	12:40:37.94	6.4681	2003592 7_02 4 - 1.d	1.110E+07	2.0E+05	7.55	0.19	17640	130	6418	55	1873	10	73460	770	73290	750	284.4	3.9	42.83	0.49	2082	23	4.921	0.099	52.58	0.69	118.0	2.0	20.18	0.32	157.7	2.3	2.215	0.058	3.91	0.13	1.83	0.13	2.80	0.14	68.84	0.89	FILENAME: 2003592 7_02 4 - 1.csv	0	0.044909	0.12723	0.28118	0.52297	23.598	13.399	0.13245	0.12742	2.1687	0.041441	0.0038671	0.0065671	0.044977	0.015932	0.0020979	0.002404	0.010506	0.0057667	0.010608
Output_1_41	2003592 7_02 4 - 2.d	10/11/2020 (3) 12:42:11.07	10/11/2020 (3)	12:42:11.07	12.936	2003592 7_02 4 - 2.d	1.046E+07	3.2E+05	7.53	0.14	17432	97	6271	41	1873.6	9.4	72060	430	72020	450	279.8	3.9	42.08	0.50	2026	16	4.82	0.11	52.02	0.42	113.5	1.0	19.64	0.42	155.6	1.5	2.098	0.055	3.846	0.067	1.65	0.12	2.732	0.088	69.11	0.49	FILENAME: 2003592 7_02 4 - 2.csv	0	0.044952	0.098447	0.20568	0.49197	20.99	12.644	0.10189	0.094831	1.7171	0.039381	0.0025807	0.0030797	0.030198	0.021469	0.0015276	0.00092417	0.0097298	0.0041994	0.0081803
Output_1_42	2003592 7_02 4 - 3.d	10/11/2020 (3) 12:43:51.03	10/11/2020 (3)	12:43:51.03	18.032	2003592 7_02 4 - 3.d	9.93E+06	0.31E+06	7.36	0.11	17182	94	6169	31	1867.1	8.7	70990	470	71540	580	279.2	2.7	41.75	0.40	2049	14	4.83	0.10	51.58	0.46	112.98	0.83	20.22	0.24	154.7	1.4	2.119	0.045	3.853	0.063	1.512	0.094	2.752	0.083	70.12	0.43	FILENAME: 2003592 7_02 4 - 3.csv	0	0.037187	0.10481	0.20523	0.3885	25.21	10.688	0.092517	0.10979	1.718	0.044107	0.0026139	0.0029101	0.031475	0.010332	0.0011873	0.0018965	0.0072297	0.003969	0.0075002
Output_1_43	2003592 7_02 5 - 1.d	10/11/2020 (3) 12:45:17.93	10/11/2020 (3)	12:45:17.93	23.716	2003592 7_02 5 - 1.d	9.40E+06	0.35E+06	7.43	0.14	17119	77	6175	24	1882.3	6.8	71330	360	71130	420	279.2	2.8	41.68	0.36	2035	14	4.843	0.066	51.04	0.35	113.21	0.74	20.32	0.30	154.8	1.3	2.085	0.043	3.807	0.049	1.73	0.10	2.800	0.084	71.98	0.52	FILENAME: 2003592 7_02 5 - 1.csv	0	0.034695	0.097447	0.19756	0.39763	18.735	12.752	0.096905	0.098854	1.6745	0.035499	0.003085	0.0028294	0.028214	0.010046	0.0017852	0.0014501	0.012778	0.0063834	0.009833
Output_1_44	2003592 7_02 5 - 2.d	10/11/2020 (3) 12:46:52.02	10/11/2020 (3)	12:46:52.02	18.228	2003592 7_02 5 - 2.d	9.88E+06	0.32E+06	7.42	0.15	17325	97	6635	57	1874.6	8.5	71490	430	71530	490	278.9	2.7	41.93	0.35	2062	16	4.832	0.085	51.40	0.31	140.7	1.9	20.27	0.29	152.9	1.1	2.178	0.053	3.848	0.071	1.680	0.080	3.316	0.096	66.62	0.49	FILENAME: 2003592 7_02 5 - 2.csv	0	0.041724	0.091356	0.18794	0.45388	19.376	13.43	0.10762	0.090873	1.6018	0.038326	0.025986	0.0029242	0.025138	0.012623	0.0011932	0.0014989	0.0092413	0.0059122	0.0075396
Output_1_45	2003592 7_02 5 - 3.d	10/11/2020 (3) 12:48:26.06	10/11/2020 (3)	12:48:26.06	17.836	2003592 7_02 5 - 3.d	9.75E+06	0.33E+06	7.65	0.16	17334	88	6209	32	1888.4	6.9	71800	470	71660	410	276.9	3.6	42.00	0.36	2056	15	4.813	0.071	51.58	0.42	114.20	0.64	20.52	0.35	155.9	1.1	2.127	0.046	3.813	0.070	1.65	0.10	2.759	0.066	70.98	0.53	FILENAME: 2003592 7_02 5 - 3.csv	0	0.042037	0.10906	0.18131	0.48153	24.245	11.822	0.12142	0.10161	1.5724	0.03596	0.0025	0.0029821	0.029301	0.021892	0.0016959	0.0017524	0.011648	0.0063963	0.0079283
Output_1_46	2003592 9_01 DC - 4.d	10/11/2020 (3) 12:50:06.00	10/11/2020 (3)	12:50:06.00	35.036	2003592 9_01 DC - 4.d	8.23E+06	0.39E+06	7.19	0.12	17032	84	6107	25	1881.6	6.9	70520	360	70480	430	273.3	2.7	41.64	0.33	2030	13	4.864	0.064	51.03	0.29	112.26	0.55	21.17	0.30	153.4	1.2	2.134	0.041	3.765	0.055	1.703	0.074	2.701	0.080	72.95	0.60	FILENAME: 2003592 9_01 DC - 4.csv	0	0.036485	0.094731	0.21667	0.45877	20.899	13.694	0.083482	0.10413	1.7536	0.037006	0.0029527	0.0017247	0.026938	0.02102	0.001461	0.0019203	0.0083873	0.0063165	0.0066956
Output_1_47	2003592 9_01 DC - 5.d	10/11/2020 (3) 12:51:33.00	10/11/2020 (3)	12:51:33.00	35.036	2003592 9_01 DC - 5.d	8.22E+06	0.38E+06	7.11	0.12	17003	87	6052	29	1866.7	6.8	70110	310	70020	380	272.9	2.7	41.13	0.33	2011	13	4.780	0.057	50.28	0.30	110.83	0.55	20.91	0.25	152.6	1.3	2.083	0.036	3.731	0.055	1.571	0.056	2.761	0.077	71.57	0.64	FILENAME: 2003592 9_01 DC - 5.csv	0	0.044098	0.10826	0.17783	0.51454	23.03	11.45	0.095542	0.096253	1.54	0.035279	0.0035461	0.003751	0.026647	0.017602	0.0021688	0.0019238	0.0073303	0.0071641	0.0070978
