	Source file	DateTime	Date	Time	Duration(s)	Comments	Si29_CPS	Si29_CPS_Int2SE	Li_ppm_m7	Li_ppm_m7_Int2SE	Mg_ppm_m24	Mg_ppm_m24_Int2SE	Al_ppm_m27	Al_ppm_m27_Int2SE	K_ppm_m39	K_ppm_m39_Int2SE	Ca_ppm_m42	Ca_ppm_m42_Int2SE	Ca_ppm_m43	Ca_ppm_m43_Int2SE	Ti_ppm_m49	Ti_ppm_m49_Int2SE	Mn_ppm_m55	Mn_ppm_m55_Int2SE	Fe_ppm_m57	Fe_ppm_m57_Int2SE	Rb_ppm_m85	Rb_ppm_m85_Int2SE	Sr_ppm_m88	Sr_ppm_m88_Int2SE	Zr_ppm_m90	Zr_ppm_m90_Int2SE	Sn_ppm_m118	Sn_ppm_m118_Int2SE	Ba_ppm_m137	Ba_ppm_m137_Int2SE	La_ppm_m139	La_ppm_m139_Int2SE	Ce_ppm_m140	Ce_ppm_m140_Int2SE	Nd_ppm_m146	Nd_ppm_m146_Int2SE	Hf_ppm_m178	Hf_ppm_m178_Int2SE	Pb_ppm_m208	Pb_ppm_m208_Int2SE	ExtraMetaData	Si29_CPS_LOD	Li_ppm_m7_LOD	Mg_ppm_m24_LOD	Al_ppm_m27_LOD	K_ppm_m39_LOD	Ca_ppm_m42_LOD	Ca_ppm_m43_LOD	Ti_ppm_m49_LOD	Mn_ppm_m55_LOD	Fe_ppm_m57_LOD	Rb_ppm_m85_LOD	Sr_ppm_m88_LOD	Zr_ppm_m90_LOD	Sn_ppm_m118_LOD	Ba_ppm_m137_LOD	La_ppm_m139_LOD	Ce_ppm_m140_LOD	Nd_ppm_m146_LOD	Hf_ppm_m178_LOD	Pb_ppm_m208_LOD
G_NIST612_2	Nist 612 - 2.d	13/09/2019 (6) 12:33:41.00	13/09/2019 (6)	12:33:41.00	35.036	Nist 612 - 2.d	7.80E+06	0.29E+06	40.30	0.34	67.91	0.51	10698	53	63.00	0.76	85060	470	85080	550	44.76	0.99	38.67	0.31	52.2	1.6	31.42	0.17	78.66	0.43	38.05	0.24	38.56	0.30	39.66	0.36	36.06	0.20	38.45	0.22	35.71	0.27	36.80	0.28	38.61	0.23	FILENAME: Nist 612 - 2.csv																				
G_NIST612_3	Nist 612 - 3.d	13/09/2019 (6) 12:57:15.00	13/09/2019 (6)	12:57:15.00	35.036	Nist 612 - 3.d	7.73E+06	0.27E+06	40.07	0.30	68.57	0.54	10726	53	62.23	0.68	85100	520	85170	490	43.69	0.88	38.60	0.27	51.6	1.1	31.42	0.19	78.56	0.45	37.70	0.25	38.57	0.30	39.25	0.40	35.95	0.21	38.07	0.22	35.38	0.31	36.65	0.25	38.57	0.26	FILENAME: Nist 612 - 3.csv																				
G_NIST612_4	Nist 612 - 4.d	13/09/2019 (6) 12:58:59.00	13/09/2019 (6)	12:58:59.00	35.036	Nist 612 - 4.d	7.81E+06	0.28E+06	40.32	0.28	67.68	0.46	10752	56	62.94	0.80	85000	500	84800	500	43.59	0.80	38.75	0.32	50.0	1.2	31.27	0.16	77.96	0.46	37.94	0.30	38.40	0.27	39.22	0.45	35.93	0.24	38.24	0.22	35.38	0.31	36.44	0.27	38.05	0.24	FILENAME: Nist 612 - 4.csv																				
G_NIST612_5	Nist 612 - 5.d	13/09/2019 (6) 13:19:24.00	13/09/2019 (6)	13:19:24.00	35.036	Nist 612 - 5.d	7.66E+06	0.29E+06	40.14	0.33	67.83	0.52	10746	58	62.12	0.73	85050	470	85070	520	43.52	0.99	38.73	0.32	50.1	1.7	31.33	0.18	78.70	0.50	37.83	0.27	38.91	0.29	39.57	0.38	36.01	0.21	38.48	0.22	35.45	0.29	36.87	0.24	38.83	0.24	FILENAME: Nist 612 - 5.csv																				
G_NIST612_6	Nist 612 - 6.d	13/09/2019 (6) 13:21:02.00	13/09/2019 (6)	13:21:02.00	35.036	Nist 612 - 6.d	7.61E+06	0.28E+06	40.21	0.29	68.03	0.46	10765	52	62.16	0.77	85050	480	85190	470	44.4	1.0	38.84	0.36	51.4	1.6	31.65	0.18	78.48	0.47	38.11	0.24	38.61	0.29	39.26	0.42	36.09	0.19	38.79	0.22	35.66	0.37	36.74	0.29	38.41	0.31	FILENAME: Nist 612 - 6.csv																				
G_NIST612_7	Nist 612 - 7.d	13/09/2019 (6) 13:41:33.00	13/09/2019 (6)	13:41:33.00	35.036	Nist 612 - 7.d	7.56E+06	0.26E+06	40.12	0.31	68.36	0.48	10778	46	61.73	0.74	85010	420	85030	430	44.18	0.73	38.42	0.32	51.4	1.6	31.33	0.17	78.34	0.41	37.82	0.23	38.60	0.29	38.87	0.37	35.96	0.18	38.13	0.18	35.45	0.30	36.60	0.24	38.41	0.34	FILENAME: Nist 612 - 7.csv																				
G_NIST612_8	Nist 612 - 8.d	13/09/2019 (6) 13:43:15.00	13/09/2019 (6)	13:43:15.00	35.036	Nist 612 - 8.d	7.58E+06	0.29E+06	40.33	0.31	67.97	0.58	10750	52	60.97	0.81	85100	520	84910	520	43.74	0.79	38.80	0.28	50.6	1.3	31.28	0.19	78.19	0.48	37.78	0.27	38.31	0.30	39.07	0.41	35.97	0.22	38.47	0.24	35.51	0.36	36.42	0.27	38.31	0.28	FILENAME: Nist 612 - 8.csv																				
G_NIST612_9	Nist 612 - 9.d	13/09/2019 (6) 14:03:41.00	13/09/2019 (6)	14:03:41.00	35.036	Nist 612 - 9.d	7.48E+06	0.27E+06	40.17	0.33	68.33	0.58	10786	68	62.29	0.76	85060	540	85330	620	44.15	0.99	38.81	0.31	52.6	1.6	31.53	0.22	78.46	0.56	37.87	0.30	38.62	0.31	39.31	0.44	35.85	0.22	38.38	0.23	35.73	0.34	36.88	0.27	38.46	0.32	FILENAME: Nist 612 - 9.csv																				
G_NIST612_10	Nist 612 - 10.d	13/09/2019 (6) 14:05:18.00	13/09/2019 (6)	14:05:18.00	35.036	Nist 612 - 10.d	7.61E+06	0.27E+06	40.18	0.40	67.74	0.58	10735	55	63.04	0.65	85040	480	84920	570	44.17	0.84	38.69	0.31	51.3	1.4	31.36	0.21	78.53	0.54	38.17	0.28	38.76	0.35	39.42	0.51	36.14	0.21	38.63	0.27	35.20	0.30	36.78	0.25	38.65	0.34	FILENAME: Nist 612 - 10.csv																				
G_NIST612_11	Nist 612 - 11.d	13/09/2019 (6) 14:25:50.00	13/09/2019 (6)	14:25:50.00	35.036	Nist 612 - 11.d	7.67E+06	0.28E+06	40.08	0.39	67.62	0.56	10767	57	62.16	0.76	85020	490	85120	530	43.46	0.72	38.65	0.34	53.1	1.5	31.24	0.23	78.43	0.45	37.68	0.26	38.75	0.34	39.03	0.38	36.05	0.21	38.42	0.24	35.49	0.32	36.76	0.29	38.63	0.45	FILENAME: Nist 612 - 11.csv																				
G_NIST612_12	Nist 612 - 12.d	13/09/2019 (6) 14:27:32.00	13/09/2019 (6)	14:27:32.00	35.035	Nist 612 - 12.d	7.55E+06	0.27E+06	40.30	0.34	68.05	0.56	10726	62	61.44	0.77	85080	530	84980	560	43.5	1.0	38.71	0.36	49.6	1.4	31.58	0.20	78.42	0.46	38.07	0.27	38.54	0.32	39.44	0.44	36.01	0.22	38.48	0.27	35.39	0.31	36.59	0.29	38.71	0.32	FILENAME: Nist 612 - 12.csv																				
G_NIST612_13	Nist 612 - 13.d	13/09/2019 (6) 14:51:08.00	13/09/2019 (6)	14:51:08.00	35.036	Nist 612 - 13.d	7.74E+06	0.28E+06	40.29	0.46	67.81	0.55	10723	68	62.36	0.81	85120	580	84950	670	44.32	0.89	38.80	0.37	51.5	1.6	31.47	0.27	78.31	0.59	37.64	0.34	38.47	0.34	39.05	0.42	35.88	0.26	38.26	0.33	35.22	0.35	36.41	0.30	39.08	0.54	FILENAME: Nist 612 - 13.csv																				
G_NIST612_14	Nist 612 - 14.d	13/09/2019 (6) 14:52:50.00	13/09/2019 (6)	14:52:50.00	35.036	Nist 612 - 14.d	7.74E+06	0.32E+06	40.14	0.40	68.11	0.62	10728	48	62.36	0.91	85000	460	85000	540	43.23	0.94	38.53	0.34	50.5	1.6	31.26	0.24	78.15	0.55	37.79	0.31	38.51	0.38	39.43	0.46	35.92	0.25	38.23	0.28	35.24	0.31	36.56	0.30	38.44	0.39	FILENAME: Nist 612 - 14.csv																				
G_NIST612_15	Nist 612 - 15.d	13/09/2019 (6) 15:13:17.00	13/09/2019 (6)	15:13:17.00	35.036	Nist 612 - 15.d	7.67E+06	0.27E+06	40.29	0.32	68.24	0.52	10793	56	62.76	0.73	85050	430	85020	510	44.34	0.79	38.96	0.31	50.6	1.5	31.46	0.20	78.69	0.40	38.09	0.25	38.76	0.29	39.74	0.32	36.11	0.22	38.40	0.22	35.72	0.30	36.98	0.20	38.62	0.33	FILENAME: Nist 612 - 15.csv																				
G_NIST612_16	Nist 612 - 16.d	13/09/2019 (6) 15:14:55.00	13/09/2019 (6)	15:14:55.00	35.036	Nist 612 - 16.d	7.67E+06	0.29E+06	40.06	0.36	67.82	0.47	10784	54	62.32	0.71	85050	450	85230	500	44.26	0.86	38.50	0.36	51.3	1.3	31.40	0.25	78.32	0.40	38.23	0.30	38.56	0.36	39.53	0.40	36.07	0.24	38.64	0.24	35.89	0.26	36.97	0.30	38.74	0.30	FILENAME: Nist 612 - 16.csv																				
G_NIST612_17	Nist 612 - 17.d	13/09/2019 (6) 15:35:25.00	13/09/2019 (6)	15:35:25.00	35.035	Nist 612 - 17.d	7.60E+06	0.26E+06	40.28	0.37	67.83	0.52	10734	63	61.65	0.87	85080	590	84970	600	43.57	0.91	38.72	0.25	51.2	1.6	31.36	0.28	78.41	0.54	37.70	0.32	38.35	0.32	38.89	0.36	35.75	0.27	37.97	0.30	35.65	0.34	36.62	0.30	38.64	0.35	FILENAME: Nist 612 - 17.csv																				
G_NIST612_18	Nist 612 - 18.d	13/09/2019 (6) 15:37:07.00	13/09/2019 (6)	15:37:07.00	35.036	Nist 612 - 18.d	7.77E+06	0.27E+06	40.09	0.45	68.05	0.64	10712	78	62.36	0.85	85010	580	84910	690	43.81	0.74	38.56	0.35	49.4	1.4	31.25	0.27	78.20	0.55	37.51	0.31	38.70	0.39	38.79	0.45	36.10	0.26	38.51	0.32	35.47	0.37	36.40	0.29	38.75	0.43	FILENAME: Nist 612 - 18.csv																				
G_NIST612_19	Nist 612 - 19.d	13/09/2019 (6) 15:57:32.00	13/09/2019 (6)	15:57:32.00	35.036	Nist 612 - 19.d	7.74E+06	0.29E+06	40.45	0.63	68.06	0.67	10693	81	61.13	0.82	85090	710	85110	830	44.07	0.97	38.65	0.43	50.7	1.4	31.51	0.32	77.64	0.64	37.69	0.37	38.70	0.46	39.08	0.48	35.68	0.32	38.31	0.34	34.89	0.35	36.21	0.33	38.49	0.42	FILENAME: Nist 612 - 19.csv																				
G_NIST612_20	Nist 612 - 20.d	13/09/2019 (6) 15:59:09.00	13/09/2019 (6)	15:59:09.00	35.036	Nist 612 - 20.d	7.77E+06	0.28E+06	40.13	0.38	68.09	0.55	10743	54	62.60	0.78	85030	440	85040	500	44.61	0.77	38.72	0.36	50.5	1.5	31.39	0.22	78.71	0.45	38.12	0.25	38.70	0.29	39.34	0.37	36.12	0.21	38.49	0.25	35.25	0.30	36.83	0.28	38.56	0.32	FILENAME: Nist 612 - 20.csv																				
G_NIST612_21	Nist 612 - 21.d	13/09/2019 (6) 16:19:40.00	13/09/2019 (6)	16:19:40.00	35.036	Nist 612 - 21.d	7.65E+06	0.29E+06	40.22	0.31	67.80	0.51	10790	62	62.45	0.75	85020	540	85190	560	44.12	0.98	38.62	0.32	51.0	1.3	31.42	0.17	78.47	0.42	37.90	0.29	38.38	0.36	39.52	0.40	36.00	0.20	38.35	0.27	35.78	0.39	36.86	0.31	38.17	0.26	FILENAME: Nist 612 - 21.csv																				
G_NIST612_22	Nist 612 - 22.d	13/09/2019 (6) 16:21:22.00	13/09/2019 (6)	16:21:22.00	35.036	Nist 612 - 22.d	7.86E+06	0.28E+06	40.15	0.32	68.19	0.51	10787	47	62.98	0.74	85080	480	85020	450	45.00	0.85	38.89	0.30	49.5	1.4	31.48	0.19	78.54	0.42	38.05	0.27	38.79	0.34	39.51	0.41	36.13	0.21	38.83	0.26	35.85	0.27	37.00	0.26	38.75	0.34	FILENAME: Nist 612 - 22.csv																				
G_NIST612_23	Nist 612 - 23.d	13/09/2019 (6) 16:41:47.00	13/09/2019 (6)	16:41:47.00	35.036	Nist 612 - 23.d	7.73E+06	0.28E+06	40.56	0.46	68.28	0.62	10724	64	61.64	0.75	84980	570	84810	590	43.36	0.79	38.54	0.37	48.0	1.5	31.28	0.29	78.11	0.54	37.69	0.30	38.44	0.35	39.23	0.44	35.73	0.24	38.18	0.27	35.02	0.32	36.37	0.26	38.43	0.31	FILENAME: Nist 612 - 23.csv																				
G_NIST612_24	Nist 612 - 24.d	13/09/2019 (6) 16:43:27.00	13/09/2019 (6)	16:43:27.00	35.036	Nist 612 - 24.d	7.73E+06	0.29E+06	40.02	0.33	67.92	0.55	10728	54	62.31	0.67	85090	450	85110	530	43.98	0.84	38.64	0.36	51.2	1.4	31.37	0.19	78.39	0.41	37.88	0.23	38.68	0.35	39.17	0.43	36.06	0.23	38.23	0.23	35.81	0.31	36.82	0.29	38.55	0.28	FILENAME: Nist 612 - 24.csv																				
G_NIST612_25	Nist 612 - 25.d	13/09/2019 (6) 17:03:57.00	13/09/2019 (6)	17:03:57.00	35.036	Nist 612 - 25.d	7.73E+06	0.27E+06	40.12	0.36	67.81	0.57	10819	68	62.14	0.90	84980	580	84880	590	42.95	0.90	38.79	0.33	50.8	1.6	31.33	0.19	78.19	0.52	37.88	0.30	38.50	0.26	39.30	0.37	36.08	0.23	38.33	0.25	35.41	0.30	36.61	0.31	38.67	0.28	FILENAME: Nist 612 - 25.csv																				
G_NIST612_26	Nist 612 - 26.d	13/09/2019 (6) 17:05:41.00	13/09/2019 (6)	17:05:41.00	35.036	Nist 612 - 26.d	7.78E+06	0.27E+06	40.39	0.44	68.07	0.65	10801	71	61.99	0.81	85140	630	85520	670	44.68	0.80	38.72	0.37	50.2	1.6	31.36	0.23	78.77	0.60	38.14	0.34	38.68	0.36	39.37	0.46	36.06	0.24	38.51	0.24	35.57	0.36	36.78	0.31	38.80	0.37	FILENAME: Nist 612 - 26.csv																				
G_NIST612_27	Nist 612 - 27.d	13/09/2019 (6) 17:26:07.00	13/09/2019 (6)	17:26:07.00	35.036	Nist 612 - 27.d	7.95E+06	0.29E+06	40.25	0.44	67.56	0.76	10627	87	61.46	0.80	84830	720	84410	690	43.22	0.90	38.73	0.36	50.2	1.7	31.45	0.28	77.76	0.66	37.38	0.33	38.29	0.40	38.97	0.55	35.73	0.28	38.29	0.34	35.32	0.38	36.25	0.36	38.86	0.44	FILENAME: Nist 612 - 27.csv																				
G_NIST612_28	Nist 612 - 28.d	13/09/2019 (6) 17:27:46.00	13/09/2019 (6)	17:27:46.00	35.036	Nist 612 - 28.d	7.75E+06	0.30E+06	40.11	0.35	68.12	0.43	10734	50	63.56	0.76	85140	490	85230	480	43.31	0.90	38.67	0.26	50.9	1.5	31.55	0.20	78.69	0.42	38.08	0.27	38.87	0.27	39.27	0.43	36.13	0.23	38.55	0.22	35.44	0.23	36.87	0.26	38.52	0.32	FILENAME: Nist 612 - 28.csv																				
G_NIST612_29	Nist 612 - 29.d	13/09/2019 (6) 17:48:17.00	13/09/2019 (6)	17:48:17.00	35.036	Nist 612 - 29.d	7.79E+06	0.28E+06	40.32	0.36	68.44	0.47	10758	59	62.74	0.87	85080	520	85390	560	44.35	0.92	38.77	0.32	52.3	1.6	31.39	0.24	78.44	0.50	38.01	0.25	38.40	0.30	39.66	0.40	36.02	0.23	38.45	0.24	35.34	0.33	36.90	0.24	38.58	0.30	FILENAME: Nist 612 - 29.csv																				
G_NIST612_30	Nist 612 - 30.d	13/09/2019 (6) 17:50:01.00	13/09/2019 (6)	17:50:01.00	35.036	Nist 612 - 30.d	7.98E+06	0.29E+06	40.10	0.49	68.47	0.69	10725	84	61.59	0.83	84990	710	84670	680	43.87	0.91	38.62	0.39	49.7	1.2	31.38	0.26	78.21	0.66	37.97	0.32	38.92	0.51	39.68	0.45	35.94	0.29	38.30	0.33	35.36	0.41	36.56	0.35	38.67	0.44	FILENAME: Nist 612 - 30.csv																				
G_NIST612_31	Nist 612 - 31.d	13/09/2019 (6) 18:10:26.00	13/09/2019 (6)	18:10:26.00	35.036	Nist 612 - 31.d	7.93E+06	0.32E+06	39.94	0.43	67.40	0.50	10625	63	62.44	0.89	84800	610	84650	570	44.12	0.79	38.41	0.36	52.0	1.5	31.13	0.23	78.03	0.55	37.59	0.28	38.77	0.40	38.58	0.43	35.86	0.24	38.20	0.27	35.15	0.35	36.31	0.28	38.51	0.42	FILENAME: Nist 612 - 31.csv																				
G_NIST612_32	Nist 612 - 32.d	13/09/2019 (6) 18:12:05.00	13/09/2019 (6)	18:12:05.00	35.036	Nist 612 - 32.d	7.76E+06	0.29E+06	40.32	0.33	67.77	0.53	10752	60	62.06	0.64	85210	570	85480	560	44.77	0.83	38.89	0.30	49.9	1.6	31.51	0.20	78.89	0.52	38.15	0.26	38.57	0.31	39.52	0.40	36.20	0.22	38.52	0.26	35.78	0.28	36.75	0.24	38.59	0.33	FILENAME: Nist 612 - 32.csv																				
G_NIST612_33	Nist 612 - 33.d	13/09/2019 (6) 18:32:35.00	13/09/2019 (6)	18:32:35.00	35.036	Nist 612 - 33.d	7.84E+06	0.28E+06	40.15	0.32	68.09	0.51	10770	64	62.32	0.71	85020	530	84980	580	43.78	0.85	38.85	0.32	52.1	1.4	31.41	0.20	78.22	0.47	37.78	0.29	38.39	0.29	39.29	0.38	35.94	0.25	38.29	0.23	35.79	0.29	36.74	0.28	38.46	0.31	FILENAME: Nist 612 - 33.csv																				
G_NIST612_34	Nist 612 - 34.d	13/09/2019 (6) 18:34:18.00	13/09/2019 (6)	18:34:18.00	35.036	Nist 612 - 34.d	7.88E+06	0.27E+06	40.31	0.37	67.82	0.47	10751	63	63.5	1.3	85070	550	84960	560	43.72	0.83	38.47	0.36	51.1	1.7	31.37	0.21	78.34	0.54	37.88	0.25	38.70	0.35	39.16	0.43	35.93	0.21	38.37	0.27	35.46	0.32	36.67	0.30	38.72	0.39	FILENAME: Nist 612 - 34.csv																				
G_NIST612_35	Nist 612 - 35.d	13/09/2019 (6) 18:54:44.00	13/09/2019 (6)	18:54:44.00	35.036	Nist 612 - 35.d	7.66E+06	0.28E+06	40.06	0.39	67.85	0.58	10749	57	61.60	0.72	85030	440	85070	510	44.37	0.96	38.81	0.30	51.3	1.5	31.53	0.19	78.67	0.47	37.88	0.29	38.65	0.32	39.55	0.41	36.02	0.22	38.46	0.27	35.56	0.32	36.80	0.27	38.69	0.30	FILENAME: Nist 612 - 35.csv																				
G_NIST612_36	Nist 612 - 36.d	13/09/2019 (6) 18:56:24.00	13/09/2019 (6)	18:56:24.00	35.036	Nist 612 - 36.d	7.69E+06	0.29E+06	40.29	0.37	68.24	0.45	10728	48	63.20	0.78	85070	500	85140	580	44.93	0.79	38.61	0.31	52.5	1.5	31.30	0.19	78.27	0.47	38.08	0.29	38.68	0.33	39.26	0.43	36.09	0.23	38.47	0.24	35.71	0.34	36.84	0.30	38.58	0.30	FILENAME: Nist 612 - 36.csv																				
G_NIST612_37	Nist 612 - 37.d	13/09/2019 (6) 19:20:02.00	13/09/2019 (6)	19:20:02.00	35.036	Nist 612 - 37.d	7.82E+06	0.28E+06	40.16	0.36	67.68	0.58	10706	54	61.43	0.67	85040	540	84990	590	43.73	0.84	38.68	0.31	51.0	1.4	31.46	0.24	78.40	0.54	37.85	0.27	38.56	0.32	39.20	0.41	35.96	0.22	38.49	0.27	35.56	0.28	36.61	0.26	38.69	0.30	FILENAME: Nist 612 - 37.csv																				
G_NIST612_38	Nist 612 - 38.d	13/09/2019 (6) 19:21:41.00	13/09/2019 (6)	19:21:41.00	35.036	Nist 612 - 38.d	7.63E+06	0.26E+06	40.23	0.34	68.07	0.55	10743	63	62.51	0.75	85050	580	85060	580	44.77	0.79	38.74	0.32	52.6	1.3	31.43	0.18	78.43	0.51	37.98	0.32	38.77	0.39	39.47	0.35	35.99	0.23	38.49	0.23	35.91	0.32	36.93	0.24	38.48	0.34	FILENAME: Nist 612 - 38.csv																				
G_NIST612_39	Nist 612 - 39.d	13/09/2019 (6) 19:42:10.00	13/09/2019 (6)	19:42:10.00	35.036	Nist 612 - 39.d	7.58E+06	0.27E+06	40.29	0.37	68.59	0.56	10776	50	61.87	0.74	85100	510	85300	560	44.29	0.78	38.81	0.30	53.1	1.7	31.45	0.22	78.62	0.49	38.02	0.28	38.72	0.33	39.67	0.42	35.93	0.21	38.40	0.25	35.36	0.39	36.77	0.30	38.71	0.28	FILENAME: Nist 612 - 39.csv																				
G_NIST612_40	Nist 612 - 40.d	13/09/2019 (6) 19:43:54.00	13/09/2019 (6)	19:43:54.00	35.036	Nist 612 - 40.d	7.66E+06	0.27E+06	40.11	0.40	68.10	0.57	10743	61	61.93	0.73	84990	520	84790	550	42.66	0.79	38.54	0.31	50.8	1.3	31.30	0.16	78.05	0.50	37.58	0.30	38.36	0.30	39.16	0.41	36.07	0.21	38.17	0.28	34.91	0.30	36.34	0.32	38.35	0.26	FILENAME: Nist 612 - 40.csv																				
G_NIST612_41	Nist 612 - 41.d	13/09/2019 (6) 20:04:21.00	13/09/2019 (6)	20:04:21.00	35.036	Nist 612 - 41.d	7.68E+06	0.28E+06	40.21	0.34	67.72	0.59	10742	64	63.14	0.72	85080	610	85020	590	44.1	1.0	38.71	0.26	50.6	1.4	31.41	0.18	78.36	0.55	38.02	0.31	38.55	0.24	39.13	0.39	35.98	0.24	38.40	0.25	35.71	0.31	36.70	0.29	38.55	0.27	FILENAME: Nist 612 - 41.csv																				
G_NIST612_42	Nist 612 - 42.d	13/09/2019 (6) 20:05:59.00	13/09/2019 (6)	20:05:59.00	35.036	Nist 612 - 42.d	7.67E+06	0.29E+06	40.19	0.34	67.89	0.53	10734	66	63.20	0.70	85030	550	85090	550	43.70	0.99	38.71	0.30	50.2	1.8	31.43	0.21	78.49	0.48	37.88	0.28	38.74	0.30	39.18	0.39	36.02	0.20	38.43	0.25	35.38	0.31	36.64	0.30	38.54	0.28	FILENAME: Nist 612 - 42.csv																				
																																																																			
Output_1_1	1302396 149-1 - 1.d	13/09/2019 (6) 12:41:29.00	13/09/2019 (6)	12:41:29.00	35.036	1302396 149-1 - 1.d	7.99E+06	0.29E+06	1.776	0.052	26450	110	4472	19	3467	10	71050	320	72120	340	136.8	1.6	85.22	0.43	536.8	4.9	10.209	0.084	51.22	0.24	64.25	0.36	4.398	0.086	101.11	0.58	3.810	0.049	6.388	0.061	3.100	0.078	1.736	0.042	13.95	0.13	FILENAME: 1302396 149-1 - 1.csv	0	0.03132	0.046176	0.086876	0.40749	12.986	11.839	0.17477	0.07102	1.2287	0.025356	0.0015683	0.0018231	0.020199	0.0076122	0.0012095	0.00089111	0.0057342	0.0012279	0.0031786
Output_1_2	1302396 149-1 - 2.d	13/09/2019 (6) 12:43:09.00	13/09/2019 (6)	12:43:09.00	35.036	1302396 149-1 - 2.d	8.01E+06	0.29E+06	1.756	0.057	26520	140	4474	23	3469	11	71400	450	72030	450	136.7	1.9	85.04	0.54	543.3	4.6	10.175	0.095	51.47	0.32	63.90	0.40	4.342	0.083	101.85	0.75	3.763	0.040	6.343	0.058	3.204	0.081	1.668	0.041	14.11	0.12	FILENAME: 1302396 149-1 - 2.csv	0	0.031869	0.033792	0.080951	0.45799	13.91	13.236	0.13686	0.087545	1.187	0.019864	0.0026827	0.0022126	0.017505	0.0062433	0.0011099	0.00113	0.0041353	0.0034577	0.0025477
Output_1_3	1302396 149-1 - 3.d	13/09/2019 (6) 12:44:42.00	13/09/2019 (6)	12:44:42.00	35.036	1302396 149-1 - 3.d	8.03E+06	0.27E+06	1.698	0.051	26550	110	4491	22	3472.7	7.9	71550	390	72080	410	137.1	1.7	84.59	0.50	534.9	4.3	10.21	0.10	51.62	0.31	64.01	0.36	4.359	0.082	101.69	0.68	3.793	0.042	6.401	0.054	3.205	0.081	1.728	0.030	14.08	0.16	FILENAME: 1302396 149-1 - 3.csv	0	0.03063	0.045448	0.09042	0.36518	12.414	11.585	0.12428	0.089405	1.091	0.021216	0.0019179	0.0021944	0.01952	0.012788	0.00086493	0.0011191	0.0023994	0.0026347	0.0025997
Output_1_4	1302396 149-1 - 4.d	13/09/2019 (6) 12:46:19.93	13/09/2019 (6)	12:46:19.93	30.986	1302396 149-1 - 4.d	8.11E+06	0.30E+06	1.734	0.057	26680	120	4502	20	3484	10	71570	380	72490	430	135.7	1.6	84.92	0.46	539.7	4.9	10.13	0.10	51.39	0.29	66.03	0.42	4.306	0.083	101.26	0.77	3.869	0.038	6.399	0.059	3.116	0.069	1.755	0.033	13.72	0.12	FILENAME: 1302396 149-1 - 4.csv	0	0.031413	0.041099	0.094439	0.47373	14.375	11.992	0.13871	0.086151	1.0302	0.019751	0.001586	0.0034164	0.013064	0.0063231	0.00051825	0.0012435	0.0041872	0.0027587	0.0030076
Output_1_5	1302396 149-1 - 5.d	13/09/2019 (6) 12:47:50.00	13/09/2019 (6)	12:47:50.00	35.036	1302396 149-1 - 5.d	7.76E+06	0.28E+06	1.793	0.054	26580	130	4457	21	3464	10	71420	360	72340	400	135.3	1.4	85.52	0.58	546.4	5.6	10.246	0.096	51.45	0.35	61.42	0.30	11.3	4.2	101.91	0.66	3.763	0.042	6.387	0.055	3.141	0.080	1.610	0.038	14.01	0.19	FILENAME: 1302396 149-1 - 5.csv	0	0.028277	0.03392	0.091674	0.50454	13.76	11.12	0.15578	0.089439	1.0056	0.021698	0.00081811	0.0040362	0.016959	0.0088899	0.00052306	0.0010397	0.005501	0.0021375	0.0032412
Output_1_6	1302396 149-1 - 6.d	13/09/2019 (6) 12:49:25.00	13/09/2019 (6)	12:49:25.00	35.036	1302396 149-1 - 6.d	7.73E+06	0.31E+06	1.729	0.049	26590	150	4471	24	3486.7	9.7	71180	370	72110	450	135.0	1.8	84.13	0.57	531.3	4.8	10.338	0.082	51.03	0.37	63.41	0.45	4.479	0.098	100.51	0.78	3.750	0.047	6.322	0.073	3.195	0.074	1.684	0.042	13.87	0.12	FILENAME: 1302396 149-1 - 6.csv	0	0.026562	0.053805	0.1012	0.42514	13.027	10.713	0.1882	0.083369	1.1211	0.026311	0.0026215	0.0013471	0.016581	0.0099918	0.00074418	0.0010529	0.0076126	0.0021654	0.0033785
Output_1_7	1302396 149-1 - 7.d	13/09/2019 (6) 12:50:59.00	13/09/2019 (6)	12:50:59.00	35.036	1302396 149-1 - 7.d	8.08E+06	0.29E+06	1.701	0.052	26680	120	4483	20	3472.4	9.9	71800	370	72340	420	134.0	1.7	85.63	0.47	533.4	4.5	10.244	0.087	51.35	0.31	61.24	0.30	4.369	0.097	101.42	0.68	3.800	0.042	6.387	0.050	3.233	0.076	1.608	0.040	14.08	0.14	FILENAME: 1302396 149-1 - 7.csv	0	0.028967	0.042788	0.089907	0.41904	12.474	10.031	0.15065	0.091629	1.1943	0.027285	0.00079004	0.0012845	0.016825	0.007484	0.00050512	0.0005125	0.004075	0.0023648	0.0027471
